t_client_start,t_publish,t_vla_in,t_vla_out,success,error,x,y,z,qx,qy,qz,gw,prompt
521815828758288,521815836824988,521815835312150,521815835312150,True,hardcoded,0.5754040282578587,-0.006289288862007785,0.19932111728122592,0.9978347956557009,-0.007985461859826768,0.06420220733206329,0.07900356501340866,HARD: pitch down
521816028725283,521816034624066,521816033627197,521816033627197,True,hardcoded,0.5746138974641429,-0.0059502467400536115,0.19878620223141744,0.9979658856307301,-0.007730592558995352,0.06212977998289454,0.07900356501340866,HARD: pitch down
521816228724318,521816234656701,521816233661502,521816233661502,True,hardcoded,0.5737473435149629,-0.0056213139911576275,0.19821559084271892,0.9981038276366276,-0.007481350378003908,0.05986848677569305,0.07900356501340866,HARD: pitch down
521816428724883,521816434507756,521816433593807,521816433593807,True,hardcoded,0.5731342436407593,-0.005395077366431557,0.1978044574878037,0.9981983550392584,-0.007314542595987633,0.05826585425385705,0.07900356501340866,HARD: pitch down
521816628721978,521816634375251,521816633411992,521816633411992,True,hardcoded,0.5721403208241658,-0.005229930206095551,0.1971738151836581,0.9983440168275182,-0.007210552802103304,0.05568747684835602,0.07900356501340866,HARD: pitch down
521816828720353,521816834634555,521816833686746,521816833686746,True,hardcoded,0.5708446226324868,-0.005088504722829294,0.19637174214978545,0.9985221744873813,-0.007136210294948715,0.05235181497078949,0.07900356501340866,HARD: pitch down
521817028707417,521817034586730,521817033626401,521817033626401,True,hardcoded,0.5699234126052982,-0.004991091845469003,0.19580747458852074,0.9986417115942449,-0.007091982661963511,0.04998509202169068,0.07900356501340866,HARD: pitch down
521817228739842,521817234889065,521817233747006,521817233747006,True,hardcoded,0.5692525449923596,-0.00491575408949153,0.19539003856303117,0.9987252402917949,-0.0070513703042738365,0.048262582462473516,0.07900422066450119,HARD: pitch down
521817428723637,521817434881320,521817433986411,521817433986411,True,hardcoded,0.5683841938683445,-0.004830331308340232,0.19486372687881146,0.9988284036479278,-0.007011471610832523,0.04604234845324988,0.07900356501340866,HARD: pitch down
521817628710152,521817634769045,521817633958846,521817633958846,True,hardcoded,0.5673786977547804,-0.004727690577510563,0.19426689097723712,0.9989413375241636,-0.006960950029741676,0.04347889686213112,0.07900422066450119,HARD: pitch down
521817828720907,521817834406420,521817833554951,521817833554951,True,hardcoded,0.5664256048734152,-0.004642652523974399,0.19370705885745154,0.9990420065403582,-0.00692534098242005,0.04105387455604345,0.07900356501340866,HARD: pitch down
521818028724971,521818034482704,521818033499486,521818033499486,True,hardcoded,0.5656632799700576,-0.004573491744168413,0.1932618704305235,0.9991179191987443,-0.006896254487740031,0.0391238496683283,0.07900356501340866,HARD: pitch down
521818228723486,521818234244289,521818233406450,521818233406450,True,hardcoded,0.5645704134929053,-0.004478854910003591,0.19262889865816468,0.9992200337895606,-0.006854495650226101,0.03636192452602195,0.07900422066450119,HARD: pitch down
521818428722261,521818434446074,521818433556075,521818433556075,True,hardcoded,0.56329860614732,-0.004361882235629583,0.1919120830027119,0.9993290034511135,-0.006801418950167955,0.03315394729820682,0.07900356501340866,HARD: pitch down
521818628723396,521818634377439,521818633555700,521818633555700,True,hardcoded,0.5622651541100545,-0.004269032773579748,0.1913373563291207,0.9994095900022687,-0.006759715526255523,0.030558732070900235,0.07900356501340866,HARD: pitch down
521818828758260,521818834954483,521818834060874,521818834060874,True,hardcoded,0.561625854164252,-0.004208704651732054,0.19097668105964494,0.9994559756250301,-0.006733154066549063,0.02895582254629239,0.07900356501340866,HARD: pitch down
521819028716125,521819035125097,521819033948129,521819033948129,True,hardcoded,0.5607597531470608,-0.004140053408503232,0.1905002086087676,0.999514552786173,-0.006703756925038667,0.026789267505184917,0.07900356501340866,HARD: pitch down
521819228722010,521819234702422,521819233668314,521819233668314,True,hardcoded,0.5596122423538764,-0.004031051112811747,0.18987865613453447,0.99958476351398,-0.006655092326828389,0.02392465100560981,0.07900356501340866,HARD: pitch down
521819428740604,521819434731147,521819433804018,521819433804018,True,hardcoded,0.5585120668433916,-0.003935243979935971,0.189290562744674,0.9996441090919038,-0.0066153855761469154,0.021188610001288636,0.07900422066450119,HARD: pitch down
521819628795629,521819635794600,521819634881891,521819634881891,True,hardcoded,0.5575537378981104,-0.0038479710640651824,0.1887852145759656,0.9996895345249437,-0.006576517147155688,0.018813511958023138,0.07900356501340866,HARD: pitch down
521819828772024,521819835228266,521819834131477,521819834131477,True,hardcoded,0.5562011536338213,-0.0037296153604719356,0.1880788353407978,0.9997439593005716,-0.006524211290908457,0.015464139447734278,0.07900356501340866,HARD: pitch down
521820028783648,521820035393790,521820034287512,521820034287512,True,hardcoded,0.5546842742538715,-0.0035973103642629595,0.18730441654699373,0.9997913458131638,-0.0064648509385316485,0.011730425463826827,0.07900356501340866,HARD: pitch down
521820228721303,521820234444386,521820233564007,521820233564007,True,hardcoded,0.5536707111932399,-0.0035121716938585103,0.18679447147219932,0.9998151355398082,-0.006431850278063964,0.009238580220195643,0.07900356501340866,HARD: pitch down
521820428724197,521820434535640,521820433616672,521820433616672,True,hardcoded,0.5524418782098541,-0.0034056489843022966,0.18618232863980333,0.999835631500105,-0.00638187770244569,0.006227995615398309,0.07900356501340866,HARD: pitch down
521820628724052,521820634434025,521820633535186,521820633535186,True,hardcoded,0.5510812640826949,-0.0032898673578554243,0.18552180050495523,0.999847622775714,-0.0063328250401078045,0.0029036811095472306,0.07900356501340866,HARD: pitch down
521820828722336,521820834981049,521820834127780,521820834127780,True,hardcoded,0.5499123115979189,-0.003187729497293172,0.1849574281634629,0.9998491074618187,-0.006286517322928854,5.819392605251744e-05,0.07900356501340866,HARD: pitch down
